rank,repo,pr_number,pr_title,pr_author,total_comments,reviewer_count,state,pr_url
1,circleci-docs,9795,Update Smarter Testing docs,gordonsyme,53,2,MERGED,https://github.com/circleci/circleci-docs/pull/9795
2,circleci-docs,9715,Consolidate VCS integration guides with org/user/project/pipeline content,rosieyohannan,50,1,MERGED,https://github.com/circleci/circleci-docs/pull/9715
3,circleci-docs,9577,Update steps and images for new project setup page,rosieyohannan,38,1,MERGED,https://github.com/circleci/circleci-docs/pull/9577
4,circleci-docs,9823,Smarter testing refinement,mseong6251,31,2,MERGED,https://github.com/circleci/circleci-docs/pull/9823
5,circleci-docs,9952,Cross repo triggers how-to,rosieyohannan,26,1,MERGED,https://github.com/circleci/circleci-docs/pull/9952
6,circleci-docs,10311,Add Runner Provisioner preview documentation,nathanfishcircleci,25,1,MERGED,https://github.com/circleci/circleci-docs/pull/10311
7,circleci-docs,9614,New page for Chunk flaky test fix,rosieyohannan,20,1,MERGED,https://github.com/circleci/circleci-docs/pull/9614
8,circleci-docs,9901,Smarter testing doc split,mseong6251,19,3,MERGED,https://github.com/circleci/circleci-docs/pull/9901
9,circleci-docs,10264,[FACT-118] Add chunk CLI documentation,hanabel1,13,1,MERGED,https://github.com/circleci/circleci-docs/pull/10264
10,circleci-docs,9800,Chunk docs split,rosieyohannan,12,1,MERGED,https://github.com/circleci/circleci-docs/pull/9800
11,circleci-docs,10405,docs(DR-481): document k8s release agent 1.6.0 dynamic managed namespaces,avalcepina,11,1,MERGED,https://github.com/circleci/circleci-docs/pull/10405
12,circleci-docs,10300,Typos-execution section,benNew89,11,1,MERGED,https://github.com/circleci/circleci-docs/pull/10300
13,circleci-docs,9627,Updating guidance on pipeline parameters use with dynamic config,yaningo,10,1,MERGED,https://github.com/circleci/circleci-docs/pull/9627
14,circleci-docs,10508,Add information for site-to-site connectivity,kevintse328,9,1,OPEN,https://github.com/circleci/circleci-docs/pull/10508
15,circleci-docs,10465,TEST-191 Update smarter testing introductions,liamclarkedev,9,1,MERGED,https://github.com/circleci/circleci-docs/pull/10465
16,circleci-docs,9556,Document audit log streaming feature,yaningo,9,1,MERGED,https://github.com/circleci/circleci-docs/pull/9556
17,circleci-docs,10511,TEST-198 Update smarter testing onboarding docs,liamclarkedev,8,1,MERGED,https://github.com/circleci/circleci-docs/pull/10511
18,circleci-docs,9949,Enhance test impact analysis setup in CircleCI,mseong6251,8,1,MERGED,https://github.com/circleci/circleci-docs/pull/9949
19,circleci-docs,9617,Documenting new guided setup for rollback pipeline,yaningo,8,1,MERGED,https://github.com/circleci/circleci-docs/pull/9617
20,circleci-docs,9731,Enhance documentation for coverage baseline in tests,mseong6251,8,3,MERGED,https://github.com/circleci/circleci-docs/pull/9731
21,circleci-docs,9830,ONPREM-2210 | Added why for nomad externalization,atulsingh0,8,1,MERGED,https://github.com/circleci/circleci-docs/pull/9830
22,circleci-docs,10298,PIPE-5421: Document Release serial group button and View job button in new pipelines UI,SashaLsnko,8,1,MERGED,https://github.com/circleci/circleci-docs/pull/10298
23,circleci-docs,9634,Create a page to explain how to find ids,yaningo,7,1,MERGED,https://github.com/circleci/circleci-docs/pull/9634
24,circleci-docs,10469,[DR-520] docs: flat release-job validation config reference,avalcepina,6,1,OPEN,https://github.com/circleci/circleci-docs/pull/10469
25,circleci-docs,10482,[ONP-949] - Add documentation for overriding the default entrypoint,imlogang,6,1,MERGED,https://github.com/circleci/circleci-docs/pull/10482
26,circleci-docs,9804,ONPREM-2442 | Access Nomad UI when using External Nomad Servers,atulsingh0,5,1,MERGED,https://github.com/circleci/circleci-docs/pull/9804
27,circleci-docs,9905,Feature availability matrix,rosieyohannan,5,1,MERGED,https://github.com/circleci/circleci-docs/pull/9905
