name,licenses
github.com/argoproj/argo-rollouts,"Apache-2.0"
github.com/cenkalti/backoff/v4,"MIT"
github.com/circleci/ex,"MIT"
github.com/containerd/containerd,"Apache-2.0"
github.com/emicklei/go-restful/v3,"MIT"
github.com/google/gnostic-models,"Apache-2.0"
github.com/google/go-cmp,"BSD-3-Clause"
github.com/google/uuid,"BSD-3-Clause"
github.com/hashicorp/go-retryablehttp,"MPL-2.0"
github.com/kelseyhightower/envconfig,"MIT"
github.com/maxbrunsfeld/counterfeiter/v6,"MIT"
github.com/mittwald/go-helm-client,"MIT"
github.com/zailic/slogr,"Apache-2.0"
golang.org/x/exp,"BSD-3-Clause"
golang.org/x/text,"BSD-3-Clause"
gotest.tools/v3,"Apache-2.0"
helm.sh/helm/v3,"Apache-2.0"
k8s.io/api,"Apache-2.0"
k8s.io/apimachinery,"Apache-2.0"
k8s.io/client-go,"Apache-2.0"
k8s.io/kubectl,"Apache-2.0"
sigs.k8s.io/controller-runtime,"Apache-2.0"
