name,licenses
github.com/antlr/antlr4/runtime/Go/antlr/v4,"BSD-3-Clause, MIT, BSD-2-Clause, BSD-3-Clause"
github.com/argoproj/argo-rollouts/pkg/apis/rollouts,Apache-2.0
github.com/argoproj/argo-rollouts/pkg/apis/rollouts/v1alpha1,Apache-2.0
github.com/argoproj/argo-rollouts/pkg/client/clientset/versioned,Apache-2.0
github.com/argoproj/argo-rollouts/pkg/client/clientset/versioned/scheme,Apache-2.0
github.com/argoproj/argo-rollouts/pkg/client/clientset/versioned/typed/rollouts/v1alpha1,Apache-2.0
github.com/argoproj/argo-rollouts/pkg/client/informers/externalversions,Apache-2.0
github.com/argoproj/argo-rollouts/pkg/client/informers/externalversions/internalinterfaces,Apache-2.0
github.com/argoproj/argo-rollouts/pkg/client/informers/externalversions/rollouts,Apache-2.0
github.com/argoproj/argo-rollouts/pkg/client/informers/externalversions/rollouts/v1alpha1,Apache-2.0
github.com/argoproj/argo-rollouts/pkg/client/listers/rollouts/v1alpha1,Apache-2.0
github.com/argoproj/argo-rollouts/pkg/kubectl-argo-rollouts/cmd/abort,Apache-2.0
github.com/argoproj/argo-rollouts/pkg/kubectl-argo-rollouts/cmd/promote,Apache-2.0
github.com/argoproj/argo-rollouts/pkg/kubectl-argo-rollouts/cmd/restart,Apache-2.0
github.com/argoproj/argo-rollouts/pkg/kubectl-argo-rollouts/cmd/retry,Apache-2.0
github.com/argoproj/argo-rollouts/pkg/kubectl-argo-rollouts/cmd/undo,Apache-2.0
github.com/argoproj/argo-rollouts/pkg/kubectl-argo-rollouts/options,Apache-2.0
github.com/argoproj/argo-rollouts/pkg/kubectl-argo-rollouts/util/completion,Apache-2.0
github.com/argoproj/argo-rollouts/utils/annotations,Apache-2.0
github.com/argoproj/argo-rollouts/utils/conditions,Apache-2.0
github.com/argoproj/argo-rollouts/utils/defaults,Apache-2.0
github.com/argoproj/argo-rollouts/utils/experiment,Apache-2.0
github.com/argoproj/argo-rollouts/utils/hash,Apache-2.0
github.com/argoproj/argo-rollouts/utils/log,Apache-2.0
github.com/argoproj/argo-rollouts/utils/replicaset,Apache-2.0
github.com/argoproj/argo-rollouts/utils/time,Apache-2.0
github.com/argoproj/argo-rollouts/utils/unstructured,Apache-2.0
github.com/asaskevich/govalidator,MIT
github.com/beorn7/perks/quantile,MIT
github.com/blang/semver/v4,MIT
github.com/bombsimon/logrusr/v4,"MIT, Unknown"
github.com/BurntSushi/toml,MIT
github.com/BurntSushi/toml/internal,MIT
github.com/cenkalti/backoff/v4,MIT
github.com/cespare/xxhash/v2,MIT
github.com/chai2010/gettext-go,BSD-3-Clause
github.com/chai2010/gettext-go/mo,BSD-3-Clause
github.com/chai2010/gettext-go/plural,BSD-3-Clause
github.com/chai2010/gettext-go/po,BSD-3-Clause
github.com/circleci/ex/o11y,MIT
github.com/circleci/ex/worker,MIT
github.com/containerd/containerd,Apache-2.0
github.com/containerd/containerd/api/runtime/sandbox/v1,Apache-2.0
github.com/containerd/containerd/api/services/containers/v1,Apache-2.0
github.com/containerd/containerd/api/services/content/v1,Apache-2.0
github.com/containerd/containerd/api/services/diff/v1,Apache-2.0
github.com/containerd/containerd/api/services/events/v1,Apache-2.0
github.com/containerd/containerd/api/services/images/v1,Apache-2.0
github.com/containerd/containerd/api/services/introspection/v1,Apache-2.0
github.com/containerd/containerd/api/services/leases/v1,Apache-2.0
github.com/containerd/containerd/api/services/namespaces/v1,Apache-2.0
github.com/containerd/containerd/api/services/sandbox/v1,Apache-2.0
github.com/containerd/containerd/api/services/snapshots/v1,Apache-2.0
github.com/containerd/containerd/api/services/streaming/v1,Apache-2.0
github.com/containerd/containerd/api/services/tasks/v1,Apache-2.0
github.com/containerd/containerd/api/services/transfer/v1,Apache-2.0
github.com/containerd/containerd/api/services/version/v1,Apache-2.0
github.com/containerd/containerd/api/types,Apache-2.0
github.com/containerd/containerd/api/types/task,Apache-2.0
github.com/containerd/containerd/api/types/transfer,Apache-2.0
github.com/containerd/containerd/archive,Apache-2.0
github.com/containerd/containerd/archive/compression,Apache-2.0
github.com/containerd/containerd/archive/tarheader,Apache-2.0
github.com/containerd/containerd/cio,Apache-2.0
github.com/containerd/containerd/containers,Apache-2.0
github.com/containerd/containerd/content,Apache-2.0
github.com/containerd/containerd/content/local,Apache-2.0
github.com/containerd/containerd/content/proxy,Apache-2.0
github.com/containerd/containerd/defaults,Apache-2.0
github.com/containerd/containerd/diff,Apache-2.0
github.com/containerd/containerd/diff/proxy,Apache-2.0
github.com/containerd/containerd/errdefs,Apache-2.0
github.com/containerd/containerd/events,Apache-2.0
github.com/containerd/containerd/events/exchange,Apache-2.0
github.com/containerd/containerd/filters,Apache-2.0
github.com/containerd/containerd/identifiers,Apache-2.0
github.com/containerd/containerd/images,Apache-2.0
github.com/containerd/containerd/images/archive,Apache-2.0
github.com/containerd/containerd/labels,Apache-2.0
github.com/containerd/containerd/leases,Apache-2.0
github.com/containerd/containerd/leases/proxy,Apache-2.0
github.com/containerd/containerd/log,Apache-2.0
github.com/containerd/containerd/mount,Apache-2.0
github.com/containerd/containerd/namespaces,Apache-2.0
github.com/containerd/containerd/oci,Apache-2.0
github.com/containerd/containerd/pkg/cap,Apache-2.0
github.com/containerd/containerd/pkg/cleanup,Apache-2.0
github.com/containerd/containerd/pkg/dialer,Apache-2.0
github.com/containerd/containerd/pkg/epoch,Apache-2.0
github.com/containerd/containerd/pkg/kmutex,Apache-2.0
github.com/containerd/containerd/pkg/randutil,Apache-2.0
github.com/containerd/containerd/pkg/streaming,Apache-2.0
github.com/containerd/containerd/pkg/transfer,Apache-2.0
github.com/containerd/containerd/pkg/transfer/proxy,Apache-2.0
github.com/containerd/containerd/pkg/transfer/streaming,Apache-2.0
github.com/containerd/containerd/pkg/unpack,Apache-2.0
github.com/containerd/containerd/pkg/userns,Apache-2.0
github.com/containerd/containerd/platforms,Apache-2.0
github.com/containerd/containerd/plugin,Apache-2.0
github.com/containerd/containerd/protobuf,Apache-2.0
github.com/containerd/containerd/protobuf/plugin,Apache-2.0
github.com/containerd/containerd/protobuf/proto,Apache-2.0
github.com/containerd/containerd/protobuf/types,Apache-2.0
github.com/containerd/containerd/reference,Apache-2.0
github.com/containerd/containerd/reference/docker,Apache-2.0
github.com/containerd/containerd/remotes,Apache-2.0
github.com/containerd/containerd/remotes/docker,Apache-2.0
github.com/containerd/containerd/remotes/docker/auth,Apache-2.0
github.com/containerd/containerd/remotes/docker/schema1,Apache-2.0
github.com/containerd/containerd/remotes/errors,Apache-2.0
github.com/containerd/containerd/rootfs,Apache-2.0
github.com/containerd/containerd/runtime/linux/runctypes,Apache-2.0
github.com/containerd/containerd/runtime/v2/runc/options,Apache-2.0
github.com/containerd/containerd/sandbox,Apache-2.0
github.com/containerd/containerd/sandbox/proxy,Apache-2.0
github.com/containerd/containerd/services,Apache-2.0
github.com/containerd/containerd/services/introspection,Apache-2.0
github.com/containerd/containerd/snapshots,Apache-2.0
github.com/containerd/containerd/snapshots/proxy,Apache-2.0
github.com/containerd/containerd/tracing,Apache-2.0
github.com/containerd/containerd/version,Apache-2.0
github.com/containerd/continuity/fs,Apache-2.0
github.com/containerd/continuity/sysx,Apache-2.0
github.com/containerd/fifo,Apache-2.0
github.com/containerd/log,
github.com/containerd/ttrpc,Apache-2.0
github.com/containerd/typeurl/v2,Apache-2.0
github.com/coreos/go-semver/semver,Apache-2.0
github.com/coreos/go-systemd/v22/daemon,Apache-2.0
github.com/coreos/go-systemd/v22/journal,Apache-2.0
github.com/cyphar/filepath-securejoin,BSD-3-Clause
github.com/DataDog/datadog-go/statsd,MIT
github.com/davecgh/go-spew/spew,BSD 0.00
github.com/docker/cli/cli/config,Apache-2.0
github.com/docker/cli/cli/config/configfile,Apache-2.0
github.com/docker/cli/cli/config/credentials,Apache-2.0
github.com/docker/cli/cli/config/types,Apache-2.0
github.com/docker/distribution,Apache-2.0
github.com/docker/distribution/digestset,Apache-2.0
github.com/docker/distribution/metrics,Apache-2.0
github.com/docker/distribution/reference,Apache-2.0
github.com/docker/distribution/registry/api/errcode,Apache-2.0
github.com/docker/distribution/registry/api/v2,Apache-2.0
github.com/docker/distribution/registry/client,Apache-2.0
github.com/docker/distribution/registry/client/auth,Apache-2.0
github.com/docker/distribution/registry/client/auth/challenge,Apache-2.0
github.com/docker/distribution/registry/client/transport,Apache-2.0
github.com/docker/distribution/registry/storage/cache,Apache-2.0
github.com/docker/distribution/registry/storage/cache/memory,Apache-2.0
github.com/docker/docker/api/types,Apache-2.0
github.com/docker/docker/api/types/blkiodev,Apache-2.0
github.com/docker/docker/api/types/container,Apache-2.0
github.com/docker/docker/api/types/filters,Apache-2.0
github.com/docker/docker/api/types/mount,Apache-2.0
github.com/docker/docker/api/types/network,Apache-2.0
github.com/docker/docker/api/types/registry,Apache-2.0
github.com/docker/docker/api/types/strslice,Apache-2.0
github.com/docker/docker/api/types/swarm,Apache-2.0
github.com/docker/docker/api/types/swarm/runtime,Apache-2.0
github.com/docker/docker/api/types/versions,Apache-2.0
github.com/docker/docker/api/types/volume,Apache-2.0
github.com/docker/docker-credential-helpers/client,MIT
github.com/docker/docker-credential-helpers/credentials,MIT
github.com/docker/docker/errdefs,Apache-2.0
github.com/docker/docker/pkg/homedir,Apache-2.0
github.com/docker/docker/pkg/ioutils,Apache-2.0
github.com/docker/docker/pkg/jsonmessage,Apache-2.0
github.com/docker/docker/pkg/longpath,Apache-2.0
github.com/docker/docker/registry,Apache-2.0
github.com/docker/go-connections/nat,Apache-2.0
github.com/docker/go-connections/tlsconfig,Apache-2.0
github.com/docker/go-events,Apache-2.0
github.com/docker/go-metrics,"Apache-2.0, CC-BY-4.0, CC-BY-NC-SA-4.0, CC-BY-SA-4.0"
github.com/docker/go-units,Apache-2.0
github.com/emicklei/go-restful/v3,MIT
github.com/emicklei/go-restful/v3/log,MIT
github.com/evanphx/json-patch,"BSD-2-Clause, BSD-3-Clause"
github.com/evanphx/json-patch/v5,"BSD-2-Clause, BSD-3-Clause"
github.com/exponent-io/jsonpath,MIT
github.com/fatih/camelcase,MIT
github.com/fatih/color,MIT
github.com/felixge/httpsnoop,MIT
github.com/fsnotify/fsnotify,BSD-3-Clause
github.com/gobwas/glob,MIT
github.com/gobwas/glob/compiler,MIT
github.com/gobwas/glob/match,MIT
github.com/gobwas/glob/syntax,MIT
github.com/gobwas/glob/syntax/ast,MIT
github.com/gobwas/glob/syntax/lexer,MIT
github.com/gobwas/glob/util/runes,MIT
github.com/gobwas/glob/util/strings,MIT
github.com/go-errors/errors,MIT
github.com/gogo/protobuf/gogoproto,BSD-3-Clause
github.com/gogo/protobuf/proto,BSD-3-Clause
github.com/gogo/protobuf/protoc-gen-gogo/descriptor,BSD-3-Clause
github.com/gogo/protobuf/sortkeys,BSD-3-Clause
github.com/go-gorp/gorp/v3,MIT
github.com/golang/groupcache/lru,Apache-2.0
github.com/golang/protobuf/jsonpb,BSD-3-Clause
github.com/golang/protobuf/proto,BSD-3-Clause
github.com/golang/protobuf/ptypes,BSD-3-Clause
github.com/golang/protobuf/ptypes/any,BSD-3-Clause
github.com/golang/protobuf/ptypes/duration,BSD-3-Clause
github.com/golang/protobuf/ptypes/timestamp,BSD-3-Clause
github.com/go-logr/logr,Apache-2.0
github.com/go-logr/logr/funcr,Apache-2.0
github.com/go-logr/stdr,Apache-2.0
github.com/google/btree,Apache-2.0
github.com/google/cel-go/cel,"Apache-2.0, BSD-3-Clause"
github.com/google/cel-go/checker,"Apache-2.0, BSD-3-Clause"
github.com/google/cel-go/checker/decls,"Apache-2.0, BSD-3-Clause"
github.com/google/cel-go/common,"Apache-2.0, BSD-3-Clause"
github.com/google/cel-go/common/containers,"Apache-2.0, BSD-3-Clause"
